"ID","Tram","ThoiGian","ViDo","KinhDo","KhoangCach","HuongGoc","Goc","DiaHinh_Cao","DiaHinh_DoDoc","DiaHinh_HuongDoc","DiaHinh_Xa","DiaHinh_MaXa","DiaHinh_Huyen","DiaHinh_MaHuyen","DiaHinh_Tinh","DiaHinh_MaTinh","LDLR","SLDLR","Lo","Khoanh","TieuKhu","MGo","MDSD","NhietDo","DoAm","TocDoGio","ChisoP","NguyCo","DoCaoDamChay","TocDoLanTran","DuongKinh","KhoangCachTiepCan","PhuongPhap","ChienLuoc","ChienThuat","KyThuat","NhanLuc","PhuongTien","ChuRung","ImagePath"
82,ESTEC,"13 giờ 49 phút ngày 18/09/2025","21.27884587401881","105.81316905475234","400.30269888418195",Bắc,"240","55.0","29.754695299274456","355.1009075462122",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông + Keo,"20","19","409","69.3",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472","0.02","0.0",Trực tiếp,Thủ công,Dập chặn đầu,Dùng bàn dập và cành cây đập trực tiếp vào ngọn lửa,"3","1 Bàn dập, 1 Máy thổi gió, 1 Cành cây",TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTEC/smoke82.jpg
83,ESTEC,"15 giờ 21 phút ngày 18/09/2025","21.280840227755892","105.81833450393663","200.15042936350008",Đông Bắc,"30","58.0","8.977710417973993","281.888658039628",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"58","17","409","60.9",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472","0.01","0.0",Trực tiếp,Thủ công,Dập chặn đầu,Dùng bàn dập và cành cây đập trực tiếp vào ngọn lửa,"3","1 Bàn dập, 1 Máy thổi gió, 1 Cành cây",TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTEC/smoke83.jpg
84,ESTECGate,"15 giờ 21 phút ngày 18/09/2025","21.280898728439645","105.81827049844803","200.15045039269157",Đông Bắc,"30","58.0","8.977710417973993","281.888658039628",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"58","17","409","60.9",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTECGate/smoke84.jpg
41,ESTEC,"15 giờ 22 phút ngày 18/09/2025","21.280840292738848","105.8183344360605","200.15042938317495",Đông Bắc,"30","58.0","8.977710417973993","281.888658039628",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"58","17","409","60.9",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472","0.01","0.0",Trực tiếp,Thủ công,Dập chặn đầu,Dùng bàn dập và cành cây đập trực tiếp vào ngọn lửa,"3","1 Bàn dập, 1 Máy thổi gió, 1 Cành cây",TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTEC/smoke41.jpg
42,ESTEC,"15 giờ 22 phút ngày 18/09/2025","21.28139041563941","105.81910450337352","300.22528343658433",Đông Bắc,"30","53.0","10.296544498409922","325.95406264339834",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Keo,"52","17","409","54.6",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472","0.02","0.0",Trực tiếp,Thủ công,Dập chặn đầu,Dùng bàn dập và cành cây đập trực tiếp vào ngọn lửa,"3","1 Bàn dập, 1 Máy thổi gió, 1 Cành cây",TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTEC/smoke42.jpg
43,ESTEC,"15 giờ 23 phút ngày 18/09/2025","21.28084011975716","105.81833461672854","200.1504293297475",Đông Bắc,"30","58.0","8.977710417973993","281.888658039628",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"58","17","409","60.9",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472","0.01","0.0",Trực tiếp,Thủ công,Dập chặn đầu,Dùng bàn dập và cành cây đập trực tiếp vào ngọn lửa,"3","1 Bàn dập, 1 Máy thổi gió, 1 Cành cây",TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTEC/smoke43.jpg
44,SocSon,"17 giờ 15 phút ngày 18/09/2025","21.279604013543025","105.820653926158","500.3755255029583",Đông,"60","69.0","10.362011056828496","237.72435568542238",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"75","17","409","74.6",Phòng hộ môi sinh,"26.5","80.0","2.0","0.0",I,"0.3542689743132942","0.04112213645916393",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke44.jpg
45,SocSon,"17 giờ 15 phút ngày 18/09/2025","21.276552158419815","105.82535909391326","1000.7609001910251",Đông Nam,"90","94.0","14.488074223053815","146.56013079421777",Phù Linh,"400",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"44","17","400","113.5",Phòng hộ môi sinh,"26.5","80.0","2.0","0.0",I,"0.3542689743132942","0.05561715230042622",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke45.jpg
46,SocSon,"17 giờ 18 phút ngày 18/09/2025","21.280999660141955","105.81881544860578","400.2999287893467",Đông Bắc,"30","59.0","4.0706972844315175","300.9637565320735",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"58","17","409","60.9",Phòng hộ môi sinh,"26.5","80.0","1.9","0.0",I,"0.3542689743132942","0.01830548773574841",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke46.jpg
47,SocSon,"15 giờ 03 phút ngày 19/09/2025","21.281015917751105","105.81879957117424","400.2999367300179",Đông Bắc,"30","59.0","4.0706972844315175","300.9637565320735",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"58","17","409","60.9",Phòng hộ môi sinh,"33.53","55.0","1.2","0.0",I,"0.3542689743132942","0.013300308043630575",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke47.jpg
