"ID","NhietDo","DoAm","TocDoGio","HuongGio","LuongMua","ThoiGian","KHTram","MaTram","P","NguyCo"
15457,28.0000000000,74.8000000000,1.2000000000,121.0000000000,0.0000000000,2025-03-14 12:15:00.000,SocSon,"2",0.0000000000,I
15456,27.9000000000,76.8000000000,1.6000000000,74.0000000000,0.0000000000,2025-03-14 12:14:00.000,SocSon,"2",0.0000000000,I
15455,27.9000000000,75.6000000000,0.8000000000,73.0000000000,0.0000000000,2025-03-14 12:13:00.000,SocSon,"2",0.0000000000,I
15454,27.8000000000,75.9000000000,2.6000000000,120.0000000000,0.0000000000,2025-03-14 12:12:00.000,SocSon,"2",0.0000000000,I
15453,27.8000000000,75.4000000000,1.8000000000,194.0000000000,0.0000000000,2025-03-14 12:11:00.000,SocSon,"2",0.0000000000,I
15452,27.8000000000,75.5000000000,2.2000000000,155.0000000000,0.0000000000,2025-03-14 12:10:00.000,SocSon,"2",0.0000000000,I
15451,27.8000000000,74.3000000000,2.6000000000,137.0000000000,0.0000000000,2025-03-14 12:09:00.000,SocSon,"2",0.0000000000,I
15450,27.9000000000,75.9000000000,3.2000000000,167.0000000000,0.0000000000,2025-03-14 12:08:00.000,SocSon,"2",0.0000000000,I
15449,28.0000000000,74.6000000000,1.0000000000,140.0000000000,0.0000000000,2025-03-14 12:07:00.000,SocSon,"2",0.0000000000,I
15448,28.0000000000,74.7000000000,1.6000000000,148.0000000000,0.0000000000,2025-03-14 12:06:00.000,SocSon,"2",0.0000000000,I
15447,27.9000000000,75.0000000000,1.4000000000,172.0000000000,0.0000000000,2025-03-14 12:05:00.000,SocSon,"2",0.0000000000,I
15446,27.8000000000,75.2000000000,1.8000000000,106.0000000000,0.0000000000,2025-03-14 12:04:00.000,SocSon,"2",0.0000000000,I
15445,27.7000000000,76.3000000000,1.6000000000,143.0000000000,0.0000000000,2025-03-14 12:03:00.000,SocSon,"2",0.0000000000,I
15444,27.6000000000,78.2000000000,1.2000000000,125.0000000000,0.0000000000,2025-03-14 12:02:00.000,SocSon,"2",0.0000000000,I
15443,27.4000000000,76.8000000000,0.8000000000,104.0000000000,0.0000000000,2025-03-14 12:01:00.000,SocSon,"2",0.0000000000,I
15442,27.2000000000,78.1000000000,1.2000000000,142.0000000000,0.0000000000,2025-03-14 12:00:00.000,SocSon,"2",0.0000000000,I
15441,27.1000000000,78.5000000000,1.0000000000,87.0000000000,0.0000000000,2025-03-14 11:59:00.000,SocSon,"2",0.0000000000,I
15440,27.0000000000,78.2000000000,1.4000000000,145.0000000000,0.0000000000,2025-03-14 11:58:00.000,SocSon,"2",0.0000000000,I
15439,26.9000000000,79.2000000000,0.8000000000,145.0000000000,0.0000000000,2025-03-14 11:57:00.000,SocSon,"2",0.0000000000,I
15438,26.8000000000,78.0000000000,1.6000000000,169.0000000000,0.0000000000,2025-03-14 11:56:00.000,SocSon,"2",0.0000000000,I
15437,26.8000000000,78.2000000000,0.9000000000,140.0000000000,0.0000000000,2025-03-14 11:55:00.000,SocSon,"2",0.0000000000,I
15436,26.7000000000,78.1000000000,1.5000000000,169.0000000000,0.0000000000,2025-03-14 11:54:00.000,SocSon,"2",0.0000000000,I
15435,26.7000000000,78.1000000000,1.4000000000,131.0000000000,0.0000000000,2025-03-14 11:53:00.000,SocSon,"2",0.0000000000,I
15434,26.7000000000,77.6000000000,0.8000000000,169.0000000000,0.0000000000,2025-03-14 11:52:00.000,SocSon,"2",0.0000000000,I
15433,26.8000000000,79.1000000000,1.4000000000,169.0000000000,0.0000000000,2025-03-14 11:51:00.000,SocSon,"2",0.0000000000,I
15432,26.8000000000,77.7000000000,0.6000000000,169.0000000000,0.0000000000,2025-03-14 11:50:00.000,SocSon,"2",0.0000000000,I
